country,year,gdp growth,,FR
Australia,1985,4.34,4.03%,1
Australia,1986,4.403,4.10%,1
Australia,1987,4.274,4.18%,1
Australia,1988,4.128,4.25%,1
Australia,1989,4.116,4.32%,0
Australia,1990,4.279,4.39%,0
Australia,1991,4.463,4.46%,0
Australia,1992,4.492,4.53%,0
Australia,1993,4.488,4.60%,0
Australia,1994,4.5,4.68%,0
Australia,1995,4.585,4.75%,0
Australia,1996,4.639,4.82%,0
Australia,1997,4.761,4.89%,0
Australia,1998,4.903,4.96%,1
Australia,1999,5.107,5.03%,1
Australia,2000,5.199,5.10%,1
Australia,2001,5.215,5.18%,1
Australia,2002,5.413,5.25%,1
Australia,2003,5.372,5.32%,1
Australia,2004,5.54,5.39%,1
Australia,2005,5.454,5.46%,1
Australia,2006,5.453,5.53%,1
Australia,2007,5.584,5.61%,1
Australia,2008,5.7,5.68%,1
Australia,2009,5.951,5.75%,1
Australia,2010,5.812,5.82%,1
Australia,2011,5.942,5.89%,1
Australia,2012,5.893,5.96%,1
Australia,2013,5.949,6.03%,1
Australia,2014,6.116,6.11%,1
Austria,1985,4.493,5.08%,0
Austria,1986,4.576,5.18%,0
Austria,1987,4.79,5.29%,0
Austria,1988,4.755,5.40%,0
Austria,1989,4.726,5.51%,0
Austria,1990,5.754,5.61%,0
Austria,1991,5.806,5.72%,0
Austria,1992,6.063,5.83%,0
Austria,1993,6.483,5.93%,0
Austria,1994,6.845,6.04%,0
Austria,1995,6.732,6.15%,1
Austria,1996,6.676,6.25%,1
Austria,1997,6.796,6.36%,1
Austria,1998,6.921,6.47%,1
Austria,1999,7.052,6.57%,1
Austria,2000,6.966,6.68%,1
Austria,2001,6.966,6.79%,1
Austria,2002,7.04,6.89%,1
Austria,2003,7.139,7.00%,1
Austria,2004,7.192,7.11%,1
Austria,2005,7.195,7.21%,1
Austria,2006,7.17,7.32%,1
Austria,2007,7.17,7.43%,1
Austria,2008,7.372,7.53%,1
Austria,2009,7.754,7.64%,1
Austria,2010,7.699,7.75%,1
Austria,2011,7.533,7.86%,1
Austria,2012,7.692,7.96%,1
Austria,2013,7.678,8.07%,1
Austria,2014,7.764,8.18%,1
