nr,country,year,govexp,fr,fr1,fr2,er,er1,er2,rr,bbr,bbr1,bbr2,bbr_d,dr,er_nat_basis,er_nat_2lvls,rr_nat_basis,bbr_nat_basis,bbr_nat_2lvls,dr_nat_basis,er_sup_basis,rr_sup_basis,bbr_sup_basis,dr_sup_basis,er_nat_mn,rr_nat_mn,bbr_nat_mn,dr_nat_mn,er_sup_mn,rr_sup_mn,bbr_sup_mn,dr_sup_mn,er_nat_enf,rr_nat_enf,bbr_nat_enf,dr_nat_enf,er_sup_enf,rr_sup_enf,bbr_sup_enf,dr_sup_enf,ceil,ind,ind_mn,frl,reg_gk,ref_gk,gk,debt_ratio,def_ratio,ratio65,five,bailout,gdp,pop,debt,ln_govexp,govexp_growth,ln_gdp,gdp_growth,ln_pop,pop_growth,ln_debt,debt_growth,consultation,inpatient_discharge,inpatient_discharge_mil,length,curative_discharge_mil,occupancy_rate,mand,mand_us
1,Australia,1985,16006.9,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,1,1,,-4.97553550906512,10.3,0,0,403435812726.674,15788310,,9.6807747,,26.723284,,16.57478,,,,5.4,,,8.699999999999999,,,0,0
1,Australia,1986,16657.2,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,1,1,,-3.35313036996077,10.5,0,0,411303831392.773,16018350,,9.7205982,.039823532,26.742598,.019313812,16.589245,.014465332,,,5.5,,,,,,0,0
1,Australia,1987,17108.6,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,1,1,,-1.60873214748614,10.7,0,0,432836651558.452,16263870,,9.7473364,.026738167,26.793627,.051029205,16.604456,.015211105,,,5.7,,,8.199999999999999,,,0,0
1,Australia,1988,17169.4,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,1,1,,-.902684125810241,10.8,0,0,452789110496.352,16532160,,9.7508841,.0035476685,26.838692,.045064926,16.620817,.016361237,,,5.9,,,,,,0,0
1,Australia,1989,17725.9,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,17.055,-1.93968610642289,11,0,0,471743882737.408,16814420,80455919200.86494,9.7827826,.031898499,26.879702,.041009903,16.637747,.016929626,25.110975,,6.2,,,7.9,,,0,0
1,Australia,1990,18344.2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,16.442,-3.14815038029001,11.1,0,0,478281439974.553,17065130,78639034360.61601,9.8170691,.034286499,26.893465,.013763428,16.652548,.014801025,25.088135,-.0228405,6.1,,,,,,0,0
1,Australia,1991,19205.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,21.627,-5.66528029659965,11.3,0,0,471848432653.244,17284040,102046660529.9171,9.8629313,.045862198,26.879923,-.013542175,16.665295,.012746811,25.348696,.26056099,6.3,,,7.3,,,0,0
1,Australia,1992,20113.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,27.65,-6.04817002988947,11.5,0,0,485819233906.489,17479000,134329018175.1442,9.9091663,.046235085,26.909103,.029180527,16.67651,.01121521,25.623558,.27486229,6.6,,,7.3,,,0,0
1,Australia,1993,20908.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,30.65,-4.27739297409433,11.6,0,0,506149730040.062,17635000,155134892257.279,9.947916,.038749695,26.950098,.040994644,16.685396,.0088863373,25.767561,.14400291,6.8,,,7.1,,,0,0
1,Australia,1994,21774.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,31.763,-3.98503493060292,11.8,0,0,529461173773.916,17805000,168172752625.809,9.9884768,.040560722,26.995125,.045026779,16.69499,.0095939636,25.848257,.080696106,6.5,,,7.1,,,0,0
1,Australia,1995,23061.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,31.123,-2.68092105263158,11.9,0,0,548253383645.838,18005000,170632900592.0942,10.045911,.057434082,27.030003,.034877777,16.70616,.011169434,25.86278,.014522552,6.7,,,6.7,,,0,0
1,Australia,1996,24257.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,29.317,-.846968861227548,12,0,0,569595591464.964,18225000,166988339549.7835,10.096489,.050578117,27.068192,.038188934,16.718306,.012145996,25.84119,-.021589279,6.8,,,6.8,,,0,0
1,Australia,1997,26000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,25.90800000000001,.510804700014779,12.1,0,0,591299898992.593,18423000,153193977831.001,10.165852,.06936264,27.105589,.037397385,16.729111,.01080513,25.754971,-.086219788,6.7,,,6.7,,,0,0
1,Australia,1998,28114.4,1,0,0,0,0,0,1,1,0,0,1,1,0,0,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,23.754,.775502504663495,12.2,0,0,621696512022.755,18608000,147677789465.8852,10.244038,.078186035,27.155718,.050128937,16.739101,.0099906921,25.718298,-.036672592,6.7,,,6.5,,,0,0
1,Australia,1999,30413.4,1,1,0,0,0,0,1,1,1,0,1,1,0,0,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,22.588,2.06877868048577,12.3,0,0,646739404362.761,18812000,146085496657.4605,10.322639,.078600883,27.19521,.039491653,16.750006,.010904312,25.707458,-.010839462,6.6,,,6.5,,,0,0
1,Australia,2000,31560.7,1,1,1,0,0,0,1,1,1,1,1,1,0,0,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,19.559,-1.07640016392025,12.4,0,0,668620299248.234,19029000,130775444329.9621,10.359668,.037029266,27.228481,.03327179,16.761475,.011468887,25.596748,-.11071014,6.4,,,6.3,,,0,0
1,Australia,2001,32875.8,1,1,1,0,0,0,1,1,1,1,1,1,0,0,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,17.177,-.676543826023244,12.5,0,0,686091610183.505,19275000,117849955881.2207,10.400492,.040823936,27.254276,.025794983,16.774319,.012844086,25.492678,-.10407066,6.4,,,6.5,,,0,0
1,Australia,2002,35169.2,1,1,1,0,0,0,1,1,1,1,1,1,0,0,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,15.062,.813892496752922,12.6,0,0,713305825775.5551,19495000,107438123478.3141,10.467926,.067434311,27.293177,.038900375,16.785669,.011350632,25.400181,-.092496872,6.3,,,6.4,,,0,0
1,Australia,2003,36349.8,1,1,1,0,0,0,1,1,1,1,1,1,0,0,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,13.208,.815137572605991,12.7,0,0,734750671012.056,19721000,97045868627.27237,10.500944,.033018112,27.322798,.029621124,16.797195,.011526108,25.29845,-.10173035,6.1,,,6.3,,,0,0
1,Australia,2004,38686.6,1,1,1,0,0,0,1,1,1,1,1,1,0,0,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,11.942,1.01396094493177,12.8,0,0,763825747606.079,19933000,91216070779.11795,10.563249,.062304497,27.361605,.038806915,16.807888,.010692596,25.236498,-.061952591,6.1,,,6.3,,,0,0
1,Australia,2005,39225.4,1,1,1,0,0,0,1,1,1,1,1,1,0,0,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,10.891,1.68044397484196,12.9,0,0,788591327669.327,20177000,85885481496.46642,10.57708,.013831139,27.393515,.031909943,16.820053,.01216507,25.176281,-.060216904,6.1,,,6.1,15443.8,,0,0
1,Australia,2006,40687.1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,9.959,1.58872156784785,13,0,0,809790098103.923,20451000,80646995870.16969,10.613667,.036586761,27.42004,.026525497,16.833542,.01348877,25.113348,-.062932968,6.2,3361408,16436.4,6.2,15666.8,,0,0
1,Australia,2007,43206.4,1,1,1,0,0,0,1,1,1,1,1,1,0,0,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,9.677,.662596853322874,13.1,0,0,846429743608.327,20828000,81909006288.9778,10.673744,.060077667,27.464293,.044252396,16.851809,.018266678,25.128876,.015527725,6.3,3445244,16541.7,6.2,15757.9,,0,0
1,Australia,2008,44895.9,1,1,1,0,0,0,1,1,1,1,1,1,0,0,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,11.741,-3.8710836030415,13.2,0,0,867715213973.129,21249000,101878443272.5851,10.712102,.038357735,27.48913,.024837494,16.87182,.020011902,25.347046,.21817017,6.5,3503903,16489.6,6,15678.2,,0,0
1,Australia,2009,47808.8,1,1,1,1,0,0,1,1,1,1,1,1,3,1,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,16.758,-5.60982173771222,13.3,0,0,881884915066.256,21692000,147786274066.8032,10.774965,.06286335,27.505327,.016197205,16.892454,.020633698,25.719032,.37198639,6.6,3613379,16657.9,5.9,15801.5,,0,0
1,Australia,2010,47798.8,1,1,1,1,1,0,1,1,1,1,1,1,3,1,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,20.497,-4.49136221932976,13.6,0,0,902317411117.717,22032000,184947999756.7985,10.774755,-.00020980835,27.528233,.02290535,16.908007,.015552521,25.94334,.22430801,6.6,3732133,16939.8,5.8,16017.1,,0,0
1,Australia,2011,50727,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,24.243,-4.51756686245763,13.8,0,0,926122279454.355,22340000,224519824208.1193,10.834213,.059457779,27.554272,.026039124,16.92189,.013883591,26.13723,.19388962,6.7,3877315,17355.9,5.8,16362.7,,0,0
1,Australia,2012,51900,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,27.858,-2.96867650715076,14.2,0,0,960114389590.075,22728000,267468666652.0031,10.857074,.022860527,27.590319,.036046982,16.939108,.017217636,26.312269,.17503929,6.9,3942920,17348.1,5.6,16317.5,,0,0
1,Australia,2013,,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,30.903,-3.0755191603064,14.4,0,0,979790811250.1899,23126000,302784754400.6462,,,27.610605,.02028656,16.956469,.017360687,26.436289,.12401962,7.1,4004673,17323.2,5.5,16322.2,,0,0
