country,year,pct_spending,trend,nr,govexp,fr,fr1,fr2,er,er1,er2,rr,bbr,bbr1,bbr2,bbr_d,dr,er_nat_basis,er_nat_2lvls,rr_nat_basis,bbr_nat_basis,bbr_nat_2lvls,dr_nat_basis,er_sup_basis,rr_sup_basis,bbr_sup_basis,dr_sup_basis,er_nat_mn,rr_nat_mn,bbr_nat_mn,dr_nat_mn,er_sup_mn,rr_sup_mn,bbr_sup_mn,dr_sup_mn,er_nat_enf,rr_nat_enf,bbr_nat_enf,dr_nat_enf,er_sup_enf,rr_sup_enf,bbr_sup_enf,dr_sup_enf,ceil,ind,ind_mn,frl,reg_gk,ref_gk,gk,debt_ratio,def_ratio,ratio65,five,bailout,gdp,pop,debt,ln_govexp,govexp_growth,ln_gdp,gdp_growth,ln_pop,pop_growth,ln_debt,debt_growth,consultation,inpatient_discharge,inpatient_discharge_mil,length,curative_discharge_mil,occupancy_rate,mand,mand_us,admin,pub_priv_rat,prev,inpat_outpat_rat,LTC,gov_left,CT inpatient,CT outpatient,MRI inpatient,MRI outpatient,Hospital employment-to-bed ratio (FTE),total hospital beds,net disposable income (USD 2010),Out of pocket expenses as % of GDP,Health system,inpat,outpat,HOSPITAL_EXP
Australia,1985,4.34,4.032617204,1,16006.9,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,1,1,,-4.975535509,10.3,0,0,4.03E+11,15788310,,9.680774689,,26.72328377,,16.57477951,,,,5.4,,,8.7,,,0,0,536.5,0.28,15.99,0.7,,100,,,,,,98534,295978.8818,0.89,1,648.508,284.19,9455.085
Australia,1986,4.403,4.104094179,1,16657.2,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,1,1,,-3.35313037,10.5,0,0,4.11E+11,16018350,,9.720598221,0.039823532,26.74259758,0.019313812,16.58924484,0.014465332,,,5.5,,,,,,0,0,497.5,0.3,17.62,0.7,,100,,,,,,,297945.4469,0.92,1,667.752,286.678,9785.289
Australia,1987,4.274,4.175571153,1,17108.6,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,1,1,,-1.608732147,10.7,0,0,4.33E+11,16263870,,9.747336388,0.026738167,26.79362679,0.051029205,16.60445595,0.015211105,,,5.7,,,8.2,,,0,0,536,0.3,19.59,0.7,,100,,,,,,94653,320073.4419,0.9,1,674.212,283.892,10086.669
Australia,1988,4.128,4.247048128,1,17169.4,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,1,1,,-0.902684126,10.8,0,0,4.53E+11,16532160,,9.750884056,0.003547668,26.83869171,0.045064926,16.62081718,0.016361237,,,5.9,,,,,,0,0,656.6,0.32,5.39,0.67,,100,,,,,,,338138.6423,0.95,1,642.542,311.519,10011.853
Australia,1989,4.116,4.318525102,1,17725.9,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,17.055,-1.939686106,11,0,0,4.72E+11,16814420,80455919201,9.782782555,0.031898499,26.87970161,0.041009903,16.63774681,0.016929626,25.11097527,,6.2,,,7.9,,,0,0,732.4,0.33,7.02,0.66,,100,,,,,,91312,347201.0847,0.98,1,628.152,328.855,9909.812
Australia,1990,4.279,4.390002076,1,18344.2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,16.442,-3.14815038,11.1,0,0,4.78E+11,17065130,78639034361,9.817069054,0.034286499,26.89346504,0.013763428,16.65254784,0.014801025,25.08813477,-0.0228405,6.1,,,,,,0,0,843.6,0.34,0.25,0.65,,100,,,,,,,338683.5942,1.1,1,640.331,339.847,10036.322
Australia,1991,4.463,4.461479051,1,19205.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,21.627,-5.665280297,11.3,0,0,4.72E+11,17284040,1.02E+11,9.862931252,0.045862198,26.87992287,-0.013542175,16.66529465,0.012746811,25.34869576,0.260560989,6.3,,,7.3,,,0,0,975.4,0.34,0.23,0.65,,100,,,,,,85064,337349.2409,1.19,1,652.507,356.798,10223.883
Australia,1992,4.492,4.532956025,1,20113.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,27.65,-6.04817003,11.5,0,0,4.86E+11,17479000,1.34E+11,9.909166336,0.046235085,26.90910339,0.029180527,16.67650986,0.01121521,25.62355804,0.274862289,6.6,,,7.3,,,0,0,814.2,0.34,0.21,0.62,,100,,,,,,81255,353314.7796,1.22,1,651.274,392.32,10225.76
Australia,1993,4.488,4.604433,1,20908.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,30.65,-4.277392974,11.6,0,0,5.06E+11,17635000,1.55E+11,9.947916031,0.038749695,26.95009804,0.040994644,16.68539619,0.008886337,25.76756096,0.144002914,6.8,,,7.1,,,0,0,706,0.34,10.1,0.61,,100,,,,,2.6,82501,367055.8034,1.23,1,643.611,408.128,10124.902
Australia,1994,4.5,4.675909974,1,21774.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,31.763,-3.985034931,11.8,0,0,5.29E+11,17805000,1.68E+11,9.988476753,0.040560722,26.99512482,0.045026779,16.69499016,0.009593964,25.84825706,0.080696106,6.5,,,7.1,,,0,0,928.6,0.34,38.82,0.63,,100,,,,,2.64,81643,379452.6356,1.24,1,659.899,379.792,10520.067
Australia,1995,4.585,4.747386948,1,23061.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,31.123,-2.680921053,11.9,0,0,5.48E+11,18005000,1.71E+11,10.04591084,0.057434082,27.03000259,0.034877777,16.70615959,0.011169434,25.86277962,0.014522552,6.7,,,6.7,,,0,0,875.6,0.34,39.9,0.62,,100,,,,,2.71,82477,399532.8144,1.17,1,675.77,407.864,10902.599
Australia,1996,4.639,4.818863923,1,24257.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,29.317,-0.846968861,12,0,0,5.70E+11,18225000,1.67E+11,10.09648895,0.050578117,27.06819153,0.038188934,16.71830559,0.012145996,25.84119034,-0.021589279,6.8,,,6.8,,,0,0,793.2,0.34,37.64,0.62,,19.1,,,,,2.7,79802,421664.3086,1.26,1,715.368,433.198,11662.731
Australia,1997,4.761,4.890340897,1,26000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,25.908,0.5108047,12.1,0,0,5.91E+11,18423000,1.53E+11,10.16585159,0.06936264,27.10558891,0.037397385,16.72911072,0.01080513,25.75497055,-0.086219788,6.7,,,6.7,,,0,0,1002.9,0.33,40.16,0.64,,0,,,,,2.75,78828,440358.708,1.26,1,775.981,437.408,12746.326
