country,year,bailout,gdp,pop,debt,POP_80+,GOV_LEFT,FR,er_level,bbr_nat_2lvls,OOP_Exp,CURE,CARE,PREV,PHARM,BEDS,BEDS_LTC,CAP FORMATION,HOSPITAL_EXP,rr
Australia,1985,0,4.03E+11,15788310,,300,100,1,1,0,7255.928,14824.11,,254.089,1157.52,98534,,2432.782,9455.085,1
Australia,1986,0,4.11E+11,16018350,,314.3,100,1,1,0,8023.363,15381.098,,284.003,1296.217,,,2580.394,9785.289,1
Australia,1987,0,4.33E+11,16263870,,327.6,100,1,1,0,8325.094,15663.986,,320.267,1476.931,94653,,2718.716,10086.669,1
Australia,1988,0,4.53E+11,16532160,,340.5,100,1,1,0,9123.358,15856.881,,89.551,1462.585,,,2649.69,10011.853,1
Australia,1989,0,4.72E+11,16814420,80455919201,354.1,100,0,0,0,9763.08,16179.572,,118.617,1580.287,91312,,2663.733,9909.812,0
Australia,1990,0,4.78E+11,17065130,78639034361,367.3,100,0,0,0,10681.239,16821.236,,4.27,1511.82,,,2573.098,10036.322,0
Australia,1991,0,4.72E+11,17284040,1.02E+11,384.1,100,0,0,0,11270.399,17550.019,,3.94,1572.13,85064,,2476.645,10223.883,0
Australia,1992,0,4.86E+11,17479000,1.34E+11,402.4,100,0,0,0,11900.318,18350.2,,3.733,1882.503,81255,,2850.631,10225.76,0
Australia,1993,0,5.06E+11,17635000,1.55E+11,422.9,100,0,0,0,12472.305,18653.818,,179.205,2192.001,82501,,3180.568,10124.902,0
Australia,1994,0,5.29E+11,17805000,1.68E+11,445.3,100,0,0,0,13067.274,18608.707,,694.853,2351.678,81643,,3041.95,10520.067,0
Australia,1995,0,5.48E+11,18005000,1.71E+11,464.4,100,0,0,0,13334.234,19610.714,,722.074,2752.283,82477,,2978.548,10902.599,0
Australia,1996,0,5.70E+11,18225000,1.67E+11,482,19.13,0,0,0,14372.946,21037.834,,689.414,2954.43,79802,,3475.959,11662.731,0
Australia,1997,0,5.91E+11,18423000,1.53E+11,499.3,0,0,0,0,14399.828,22466.846,,743.501,3001.126,78828,,3929.118,12746.326,0
Australia,1998,0,6.22E+11,18608000,1.48E+11,515,0,1,0,1,15248.857,23929.758,300.187,1238.612,3517.701,77631,,4142.75,13914.766,1
Australia,1999,0,6.47E+11,18812000,1.46E+11,531.5,0,1,0,1,15085.874,25483.586,302.862,1009.188,3918.724,76612,,4657.07,14557.219,1
Australia,2000,0,6.69E+11,19029000,1.31E+11,558.1,0,1,0,1,16652.107,26177.549,205.542,1099.678,4622.812,76875,,4872.892,14844.296,1
Australia,2001,0,6.86E+11,19275000,1.18E+11,591.3,0,1,0,1,17850.367,27414.154,215.717,936.188,4855.16,76209,,5149.319,15523.283,1
Australia,2002,0,7.13E+11,19495000,1.07E+11,619.9,0,1,0,1,18345.446,29273.045,226.753,1034.661,5232.465,76653,,5552.038,16777.128,1
Australia,2003,0,7.35E+11,19721000,97045868627,644.5,0,1,0,1,19472.64,29850,261.825,1046.268,5611.159,78240,,4877.393,18096.237,1
Australia,2004,0,7.64E+11,19933000,91216070779,668.5,0,1,0,1,20444.898,32025.222,294.85,1057.497,5776.932,79639,,,19416.243,1
Australia,2005,0,7.89E+11,20177000,85885481496,697,0,1,0,1,20674.731,32893.036,303.011,1012.705,5606.367,78715,,,20473.009,1
Australia,2006,0,8.10E+11,20451000,80646995870,720.1,0,1,0,1,21539.608,34276.019,311.562,1131.345,5692.866,80331,,,21648.839,1
Australia,2007,0,8.46E+11,20828000,81909006289,748,7.95,1,0,1,21832.038,36565.664,213.802,1420.982,5936.32,,,,23048.304,1
Australia,2008,0,8.68E+11,21249000,1.02E+11,773.2,100,1,0,1,23020.545,37114.881,278.506,1353.397,6259.582,81233,,,24958.104,1
Australia,2009,0,8.82E+11,21692000,1.48E+11,796.8,100,1,1,1,24174.858,39742.423,349.938,1380.091,6727.283,81838,,,26450.212,1
Australia,2010,0,9.02E+11,22032000,1.85E+11,823.6,100,1,1,1,24927.391,39716.982,891.023,1416.759,6562.957,83232,,,27494.735,1
